17041,1576915277,"Моя недельная печальная история с Беру закончилась, деньги вернули, все ок. Но нервную систему встряхнули😃. Желаю Беру стать все-таки площадкой ""Беру-мне нравится!"""
17029,1576913568,"Решила я купить 2 кастрюли. Стала оформлять заказ. Вижу, что кастрюли находятся на разных складах и поэтому будут доставлены по отдельности.
Ок. Не проблема. Продолжаю оформление заказа. Дохожу до способа доставки.
И что мне предлагают? Одну кастрюлю доставят на ПВЗ, вторую - только курьерская доставка! Что за бред??? Почему невозможно доставить второй товар в ПВЗ? Я же не чугунную ванну заказываю! Размер упаковки 20х22 см. 
Ок. Решила оформить курьерскую доставку на обе кастрюли. Но и тут не все так просто. Одну кастрюлю доставят 22.12, вторую 23-25.12 (на выбор). Для меня это неудобно!
Поэтому я пытаюсь перенести срок доставки первой кастрюли на другую дату, но что бы их доставили в ОДИН день.
Нереально!
Ребята! Вы издеваетесь? Вы считаете что это удобно для покупателя:
1. часть товара забирать на ПВЗ, часть товара ждать курьером
2. доставлять части заказа курьером, но в разные дни
У вас там с логикой как?
Я терпеть не могу курьерские доставки. Мне проще забирать заказ на ПВЗ в удобное для МЕНЯ время. Тем более, что у вас доставка DPD. Та еще контора... Имела ""удовольствие"" пользоваться их услугами. И каждый раз были проблемы с получением. А тут вы мне предлагаете растянуть это ""удовольствие"" аж на целых 2 дня!
В общем, от заказа я отказалась. Нашла магазин, в котором нет такого бреда с доставкой.
Да и кастрюли там стоят дешевле чем у вас, даже с учетом беру-боносов."
17024,1576912453,"Бонусы... беру давал бонусы за покупку ради заманухи первое время. Теперь ни за один из 15 заказов бонусы не приходили. Мало того, воспользовавшись купонами, предложенными на сайте Беру- скорее всего вы не получите заказ. Его отменят, а Деньги вернут только тогда , когда срок этих купонов пройдёт. Или ещё больший обман , когда не дали обещанный за покупку сантехники Grohe бонус...  отец ждёт- Беру молчит. Думают, что может, забудет 😁"
17021,1576911045,"Где заказ № 12048908 
? зачем вы сами определяете срок в один день,так и написано,что заказ будет 20-го в пятницу,ну так его нет!кому звонить кому писать?!когда его ждать?"
17019,1576909213,"Беру.ру и Озон.ру принадлежат одному владельцу? В Озоне отменили оплату наличными, оставили только полную предоплату и кредит. И операторы Озона всех клиентов отправляют на Беру, кто хочет заказы оплачивать наличными. Это временная рекламная акция? Или у Озона больше не будет оплаты наличными?"
17017,1576907266,Уже с утра развлекаете своими вумными ответами 😂
17013,1576902903,"Самый отвратительный сайт. Не рекомендую никому. Жду заказ №​ 11750549 неделю. Так и не доставили,одни отписки от них. Буду  писать в отзовиках,не пожалею времени на это."
17004,1576883431,Бонус товары для красоты  и гигиены не действует на гидромассажные ванночки . Почему тогда эти ванночки в отделе товары для красоты
error,error,error
16996,1576875655,"Объясните, что у Вас происходит с товаром? Уже не первый раз приходят товары, которые мы заказываем, в ненадлежащем состоянии! Все коробки мятые, с порванными, помятыми уголками и крышками, с наклейками на крышках, которые, судя по внешнему виду, уже не первый раз открывали (грязные, в пыли, отпечатках пальцев и тд). Все товары приобретались в подарок, но дарить их в таком виде просто невозможно и неприлично! Все выглядит так, как будто либо уже использованное, либо 100 раз вернувшееся от других покупателей, либо валявшееся на складе на грязных полах...
Казалось, что магазин хороший, но по факту больше ничего заказывать просто не хочется, потому что ожидаешь, что в следующий раз все придёт ещё в более худшем состоянии. Продажа товаров в таком виде - это неуважение к покупателям!"
16994,1576875210,"Вопрос по заказу №10769780 
Где мой заказ? Это уже ни в какие ворота не лезет! Должны были доставить 4 декабря! Я так понимаю потеряли его и решили сделать вид, что ничего не было! Так собирайте заново и отправляйте! С 22 ноября у вас статус находится в обработке! Вы издеваетесь что ли?"
16988,1576871624,"Можно уточнить планируется ли снижение стоимости доставки в город Архангельск? Хотелось бы на постоянной основе делать у вас заказы, но доставка от 1099 как то останавливает. Чем вам так регионы не угодили) Санкт-Петербург не сильно дальше нас, но все прелести вашего магазина для него бесплатны"
16985,1576869853,"Если вам (не)везёт заказ Vezu, попробуйте связаться с ними по телефонам:
79055571976 
79067336154 
79055568016 
79162368547

Я дозвонился по второму, сказали, что заказ вообще на завтра запланирован, хотя Беру и уверяло, что сегодня."
16979,1576867875,"Не привезли чемодан, завтра улетать. 

Номер заказа - 12066514 

Ставьте единицы в ЯД!"
16978,1576867704,"Подскажите , промокод PICO5 не проходит в корзине на моторные масла . Но в условии написано на все , кроме электроники ."
16973,1576866164,Отличный интернет магазин! Заказываю спортивное питание. Отличный во всем. Вот бонусы иногда фуфло попадаются.
16972,1576865336,"Где мои деньги заказ  № 10948043, № 307775356"
16957,1576854456,"Никогда в жизни не заказывайте у них ничего!!! Будите ждать доставку до следующего года. Должна быть доставка 20.12.2019 небыло ни звонка ничего, сам позвонил водителю на что он мне ответил :Заказов много к вам сегодня не повезу!"
16956,1576854360,Не получается взять😐
16955,1576854271,"Когда же вы уже закроетесь и перестанете терроризировать людей, фашисты!"
16954,1576854123,Самая ублюдская доставка
16937,1576848635,"[id574625663|Дмитрий], а Вы в курсе, что такой товар не подлежит возврату? Если я решу приобрести этот триммер, откуда мне знать, пользовались Вы или нет?"
16935,1576848560,"[id4676465|Екатерина], до этого проблем не было"
16932,1576847627,"А я вернул неиспользованный новый триммер для бороды и его признали б/у и Активированным 😃😃😃 О деньгах и собственных правилах великодушно забыли. На электронные письма тупо не отвечают, по телефону спец толком ничего объяснить не может. Дикость какая-то, не покупайте тут !"
16926,1576846445,"Вы рехнулись?? Заказ № 11976655 
Заказ отменён ЭТО КАК???? 
 
С ума сошли?! 
Уменя животные без еды! Вчера обещали привезти сегодня, сейчас захожу в лк и статус ОТМЕНЕН! Прекратите пытаться работать, пока работать не научитесь!"
16922,1576843423,"Устраивайте бонусы на выбор почаще, уже 2 заказа оформила!!!"
16920,1576842894,"А реально, запустите фирменные конфеты!

Побьёте Коркунов и ""одного Хохла"". :D"
16918,1576840806,"Где заказ 11776651?

С понедельника заказ в доставке, жду. Уведомлениями беру перенесли на четверг, потом на пятницу...
Служба поддержки не может дозвониться до доставки, я не могу дозвониться до доставки.

Отвратительная Служба доставки везу."
16911,1576839138,Какой толк от бонусов если вы не в состоянии привезти заказы? Это как импотент - хочет но не может
16910,1576839082,Где заказ 11799715 ?
16906,1576837057,"интересно, а почему не пришел промокод для окко?"
16904,1576836779,Хорошая ссылка
error,error,error
error,error,error
error,error,error
error,error,error
error,error,error
error,error,error
error,error,error
error,error,error
error,error,error
error,error,error
error,error,error
error,error,error
error,error,error
error,error,error
error,error,error
error,error,error
error,error,error
error,error,error
17007,1576885145,"Что с заказом 11865998 ?? Должны были привезти 20 декабря, но тишина полная, ни звонков ни смс о том что с моим заказом(("
16971,1576862897,"Делал большой заказ, который привезли совершенно в другой пункт выдачи ( хотя в заказе отображено, что прибыл он в правильное отделение). Что мне ответили в поддержке ? Сначала мне говорили, что нужный пункт выдачи закрылся навсегда, потом, что там нет места.. серьёзно ?? Это не постомат!, а потом просто : «Нам так жаль, но вы поезжайте и заберите заказ в том пункте, куда он пришёл, мы ничего не можем сделать, так сошлись звезды ». И магазину совершенно все равно, что заказ на 17 кг, доставлен абсолютно в другой район. Спасибо беру, что мне пришлось потратить деньги на такси и около 2,5 часов времени , чтобы забрать свой заказ. Такой сервис ужасен 🤬! Номер заказа : 11475428"
16902,1576835987,"Ребята, все знают думаю что у меня были огромные проблемы с Беру на крупную сумму, но знаете они всё исправили и попросили прощения! Огромное спасибо что решили проблему, хоть и заставили переживать.
Вердикт такой: маркетплейс новый, но с большим будущим, они стараются регать проблемы, выходит немного непрофессионально и долго, но это можно списать на то что они совсем ещё молодые!
Лично я продолжу пользоваться Беру, надеюсь у всех у кого есть проблемы - они будут решены. Не отчаивайтесь и боритесь до конца!!"
16901,1576835759,"[club166725802|Беру] В мобильном приложении Android, некорректно отображается номер отслеживания в случае если служба доставки - ПЭК. Какое-то hex значение, а не человеческий трек номер. Неоднократно сообщал об этом поддержке, но она включает ""дурочку"""
16891,1576831068,"Сделал на сайте заказ весом около 17 кг. В мой город возможна доставка только в пункт выдачи. Выбрал ближайший к своему дому, чтобы донести заказ без проблем. В итоге посылку доставляют совершенно в другой район города. В магазине указано, что доставлен заказ в правильный пункт. Переадресовывать посылку отказываются. Ужасный сервис! А ведь это был не первый мой заказ с этого сайта , но с таким безразличием столкнулся впервые 😡"
16889,1576830977,Отвратительный сервис. Жду связи с менеджером больше обещанного часа. Хотят отменить заказ и оставить ребенка БЕЗ ПОДАРКА И ДЕНЕГ на новый год.😭😩 всем буду говорить чтоб у.вас ничего не покупали
16885,1576829828,"Сервису всего год, начали хорошо, а удержатся тяжело будет с таким уровнем доставки. У вас всех хорошо, операторы во время отвечают, маркетинг, оформление, но пока доставку не улучшите - будете терять миллионы от потенциальных клиентов!!! Надеюсь когда-нибудь вы улучшите ее."
16884,1576829314,Ответьте на сообщение в личке
16880,1576827914,"Заказ 11799715 , задолбали, неделю не можете привезти и сдвигаете сроки, я бы на руках донёс из магазина, где он есть? Вчера звоню, в 6 вечера, говорю прождал весь день - не привезут скорее всего, нет говорят, сидите и ждите, до 22 будет у вас. Ну и где он? Я знаю, в жопе."
16872,1576825596,Самая ужасная доставка товаров. Перепутали адрес и при этом не могут изменить.его
16871,1576824876,"Многие жалуются, что заказ не привезли. у меня ситуация интереснее)) заказ отменила, деньги вернули, сегодня курьер привез заказ)) 😅😅 ребят, ну как так))
забирайте, чтоб честно было,а то у кого-нить из зарплаты вычтут перед нг, обидно будет же))"
16851,1576786839,"[club166725802|Беру] заказ от 14 декабря, должны были привезти сегодня, 19 декабря, с 10 до 22ч = никто не приехал, не позвонил. Чат на сайте не работает, личный кабинет с заказами тоже - выдает просто белый экран и все. Отношение как в том самом видосе про девочку из кафе

Жду инфы, заказ №11809370"
16848,1576783162,Из коробок Беру выходят не только костюмы🙃😊
16839,1576778327,"Где заказ Заказ № 11976655 ?? я оставляла комент, что нужен строго сегодня и статус ""передан в курьерскую службу"". Не дозвониться ни до боксберри ни до вас!!!"
16831,1576762265,"скоро пойдет 3я неделя как ждем заказ. Наконец-то получается дозвонится до транспортной, но толку тоже 0. Сегодня вот стопроцентов обещали, а по итогу - машина сломалась. Ваши ставки, господа, что ждать завтра."
16829,1576761984,Увы не могу. Сменить номер телефона. 😔
16827,1576761534,"Не сервис а 💩... так и не доставили заказ 🤣 отменил, опять жду... Россия одним словом..."
16825,1576759865,"Всем привет! Кому-нибудь приходило от ООО ""Пост Сервис""? Заказал iphone7, продавец был указан беру. Сегодня приходит оповещение с почты России и там указано что отправитель ООО ""Пост Сервис"" Почитал отзывы про это контору и ужаснулся. Присылают не тот товар который нужен."
16822,1576757700,"PRщик, а не офигел ли ты затирать отзывы? В первый раз решил, что я сам протупил и не отправил, а вот сейчас это точно ваши шаловливые ручки сделали."
16819,1576756002,"Было ли у кого-нибудь, что в боксе самообслуживания не оказывалось оплаченного товара? Удавалось ли доказывать факт воровства и получать деньги назад?"
16810,1576745809,"Пожалуйста разберитесь уже с курьерской доставкой Вестовой это же просто тихий ужас ,скажите как такая крупная компания как ваша связалось с такой шарашкой, отзывы о них просто все негативные ,мой заказ так же попал в эту курьерскую службу,я заказывал доставку на 19.12.19 но сегодня с утра увидел  уже 19- 20 хотя я ради этой доставки взял выходной на работе,позвонив в компанию Вестовой мне сообщили что мой заказ и во все не передали курьеру,и будет он только 20.12.19,спросил как же так получилось ,оператор ответила что не имеет не какого понятие,подумав что уж раз выходной то можно и самому тогда скататься и забрать свой заказ на склад,звоню оператору второй раз мне говорят забрать можно но завтра🙄  спрашиваю а где вообще находится мой заказ ,ответили что он находится на складе ,говорю так давайте я приеду его и заберу ,но мне отвечают повторно что забрать его я смогу только завтра якобы его надо ещё упаковать,😳😳😳 зачем его упаковавать если я сам за ним планирую приехать я не представляю ,спрашиваю ну а если я приеду через 3-4 часа за заказом ,мне отвечают что заказов очень много и в любом случаи забрать его можно только завтра ,но завтра уже и доставка должна быть, Заказ оплачен и доставка тоже,Как такой крупной компании Яндекс и Сбербанка настоятельно рекомендую прислушаться уже к покупателям и посмотреть отзывы об этой курьерской службе ,так как вы сами из за них теряете и клиентов и имидж и да делал я на сегодня два заказа один доставляется службой стриж и уже пришло и смс оповещения что курьер будет сегодня,а от вестового пока сам не позвонил и не узнал бы что мой заказ даже и не планировали сегодня доставлять хотя опять же дату поставили уже 19-20,огромная просьба кто так же пострадал или недаволен курьерской доставкой Вестовой напишите или поставьте лайк , может так в беру увидят ,сколько людей страдают от этой курьерской службы"
